name,team,wins,losses,otl,total
Randy Carlyle,Anaheim Ducks,21,26,9,56
Bob Murray,Anaheim Ducks,14,11,1,26
Rick Tocchet,Arizona Coyotes,39,35,8,82
Bruce Cassidy,Boston Bruins,49,24,9,82
Phil Housley,Buffalo Sabres,33,39,10,82
Bill Peters,Calgary Flames,50,25,7,82
Rod Brind'Amour,Carolina Hurricanes,46,29,7,82
Joel Quenneville,Chicago Blackhawks,6,6,3,15
Jeremy Colliton,Chicago Blackhawks,30,28,9,67
Jared Bednar,Colorado Avalanche,38,30,14,82
John Tortorella,Columbus Blue Jackets,47,31,4,82
Jim Montgomery,Dallas Stars,43,32,7,82
Jeff Blashill,Detroit Red Wings,32,40,10,82
Todd McLellan,Edmonton Oilers,35,38,9,82
Bob Boughner,Florida Panthers,36,32,14,82
John Stevens,Los Angeles Kings,4,8,1,13
Willie Desjardins,Los Angeles Kings,27,34,8,69
Bruce Boudreau,Minnesota Wild,37,36,9,82
Claude Julien,Montreal Canadiens,44,30,8,82
Peter Laviolette,Nashville Predators,47,29,6,82
John Hynes,New Jersey Devils,31,41,10,82
Barry Trotz,New York Islanders,48,27,7,82
David Quinn,New York Rangers,32,36,14,82
Guy Boucher,Ottawa Senators,22,37,5,64
Marc Crawford,Ottawa Senators,7,10,1,18
Dave Hakstol,Philadelphia Flyers,12,15,4,31
Scott Gordon,Philadelphia Flyers,25,22,4,51
Mike Sullivan,Pittsburgh Penguins,44,26,12,82
Peter DeBoer,San Jose Sharks,46,27,9,82
Mike Yeo,St. Louis Blues,7,9,3,19
Craig Berube,St. Louis Blues,38,19,6,63
Jon Cooper,Tampa Bay Lightning,62,16,4,82
Mike Babcock,Toronto Maple Leafs,46,28,8,82
Travis Green,Vancouver Canucks,35,36,11,82
Gerard Gallant,Vegas Golden Knights,43,32,7,82
Todd Reirden,Washington Capitals,48,26,8,82
Paul Maurice,Winnipeg Jets,47,30,5,82
