Coach,From,To,Yrs,GP,W,L,St Cup
Mike Babcock,2003,2020,17,1292,697,413,1
Jared Bednar,2017,2020,4,257,111,118,0
Craig Berube,2014,2020,4,236,119,80,1
Jeff Blashill,2016,2020,5,341,140,153,0
Bruce Boudreau,2008,2020,13,939,544,287,0
Rod Brind'Amour,2019,2020,2,94,54,32,0
Bruce Cassidy,2003,2020,6,313,173,100,0
Jeremy Colliton,2019,2020,2,78,33,34,0
Jon Cooper,2013,2020,8,519,310,163,0
Peter DeBoer,2009,2020,12,835,404,321,0
Gerard Gallant,2004,2020,9,505,254,202,0
Travis Green,2018,2020,3,175,73,79,0
John Hynes,2016,2020,5,337,143,151,0
Claude Julien,2003,2020,17,1196,632,413,1
Peter Laviolette,2002,2020,18,1181,626,413,1
Paul Maurice,1996,2020,22,1542,701,626,0
Todd McLellan,2009,2020,12,818,438,290,0
Jim Montgomery,2019,2020,2,96,48,40,0
Bill Peters,2015,2020,6,424,193,169,0
Joel Quenneville,1997,2020,23,1648,895,535,3
David Quinn,2019,2020,2,92,36,41,0
Todd Reirden,2019,2020,2,96,57,28,0
Mike Sullivan,2004,2020,7,477,252,153,2
Rick Tocchet,2009,2020,5,323,128,148,0
John Tortorella,2000,2020,19,1268,627,497,1
Barry Trotz,1999,2020,21,1617,818,598,1
Guy Boucher,2011,2019,6,424,191,187,0
Bob Boughner,2018,2019,2,164,80,62,0
Randy Carlyle,2006,2019,13,924,475,334,1
Marc Crawford,1995,2019,16,1169,556,431,1
Willie Desjardins,2015,2019,4,315,136,144,0
Scott Gordon,2009,2019,4,232,89,116,0
Dave Hakstol,2016,2019,4,277,134,101,0
Phil Housley,2018,2019,2,164,58,84,0
Bob Murray,2019,2019,1,26,14,11,0
John Stevens,2007,2019,7,362,171,148,0
Mike Yeo,2012,2019,8,482,246,181,0
