Overall,Team,Player,Nat.,Pos,Age,Amateur Team
1,New Jersey Devils,Jack Hughes/hugheja03,US,C,18,USA U-18 (U.S. NTDP)
2,New York Rangers,Kaapo Kakko/kakkoka01,FI,RW,18,TPS (Finland)
3,Chicago Blackhawks,Kirby Dach/dachki01,CA,C,18,Saskatoon Blades (WHL)
4,Colorado Avalanche,Bowen Byram/byrambo01,CA,D,18,Vancouver Giants (WHL)
5,Los Angeles Kings,Alex Turcotte/turcoal02,US,C,18,USA U-18 (U.S. NTDP)
6,Detroit Red Wings,Moritz Seider/seidemo01,DE,D,18,Mannheim (GERMANY)
7,Buffalo Sabres,Dylan Cozens/cozendy01,CA,C,18,Lethbridge Hurricanes (WHL)
8,Edmonton Oilers,Philip Broberg/brobeph01,SE,D,18,AIK (Sweden-2)
9,Anaheim Ducks,Trevor Zegras/zegratr01,US,C,18,USA U-18 (U.S. NTDP)
10,Vancouver Canucks,Vasily Podkolzin/podkova01,RU,RW,18,SKA-Neva St. Petersburg (RUSSIA-2)
11,Arizona Coyotes,Victor Soderstrom/sodervi01,SE,D,18,Brynas IF (Sweden)
12,Minnesota Wild,Matthew Boldy/boldyma01,US,LW,18,USA U-18 (U.S. NTDP)
13,Florida Panthers,Spencer Knight/knighsp01,US,G,18,USA U-18 (U.S. NTDP)
14,Philadelphia Flyers,Cameron York/yorkca01,US,D,18,USA U-18 (U.S. NTDP)
15,Montreal Canadiens,Cole Caufield/caufico01,US,RW,18,USA U-18 (U.S. NTDP)
16,Colorado Avalanche,Alex Newhook/newhoal01,CA,C,18,Victoria (BCHL)
17,Vegas Golden Knights,Peyton Krebs/krebspe01,CA,C,18,Kootenay Ice (WHL)
18,Dallas Stars,Thomas Harley/harleth01,US,D,18,Mississauga Steelheads (OHL)
19,Ottawa Senators,Lassi Thomson/thomsla01,FI,D,18,Kelowna Rockets (WHL)
20,Winnipeg Jets,Ville Heinola/heinovi01,FI,D,18,Lukko (Finland)
21,Pittsburgh Penguins,Samuel Poulin/poulisa01,CA,RW,18,Sherbrooke Phoenix (QMJHL)
22,Los Angeles Kings,Tobias Bjornfot/bjornto01,SE,D,18,Djurgardens Jr. (Sweden-Jr.)
23,New York Islanders,Simon Holmström/holmssi01,SE,RW,18,HV 71 Jr. (Sweden-Jr.)
24,Nashville Predators,Philip Tomasino/tomasph01,CA,C,18,Niagara (OHL)
25,Washington Capitals,Connor McMichael/mcmicco01,CA,C,18,London Knights (OHL)
26,Calgary Flames,Jakob Pelletier/pelleja01,CA,LW,18,Moncton Wildcats (QMJHL)
27,Tampa Bay Lightning,Nolan Foote/footeno01,US,LW,18,Kelowna Rockets (WHL)
28,Carolina Hurricanes,Ryan Suzuki/suzukry01,CA,C,18,Barrie Colts (OHL)
29,Anaheim Ducks,Brayden Tracey/tracebr01,CA,LW,18,Moose Jaw Warriors (WHL)
30,Boston Bruins,John Beecher/beechjo01,US,C,18,USA U-18 (U.S. NTDP)
