Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN
1,Jake Allen,28,STL,46,45,19,17,8,121,1277,1156,0.905,2.83,3,6.5,2568
2,Frederik Andersen,29,TOR,60,60,36,16,7,162,1958,1796,0.917,2.77,1,12.5,3510
3,Craig Anderson,37,OTT,50,47,17,27,4,163,1676,1513,0.903,3.51,2,8.1,2785
4,Richard Bachman,31,VAN,1,1,0,1,0,6,29,23,0.793,6,0,-0.2,60
5,Jonathan Bernier,30,DET,35,30,9,18,5,98,1025,927,0.904,3.16,1,5.1,1860
6,Jordan Binnington,25,STL,32,30,24,5,1,59,807,748,0.927,1.89,5,6,1876
7,Ben Bishop,32,DAL,46,45,27,15,2,87,1323,1236,0.934,1.98,7,10.8,2637
8,MacKenzie Blackwood,22,NJD,23,21,10,10,0,55,669,614,0.918,2.61,2,4.3,1264
9,Sergei Bobrovsky,30,CBJ,62,61,37,24,1,153,1756,1603,0.913,2.58,9,10.4,3557
10,Landon Bow,23,DAL,2,0,0,0,0,1,19,18,0.947,1.03,0,0.2,58
11,Kevin Boyle,26,ANA,5,4,1,3,0,10,139,129,0.928,2.17,1,1,277
12,Laurent Brossoit,25,WPG,21,19,13,6,2,49,652,603,0.925,2.52,1,4.7,1165
13,Peter Budaj,36,LAK,3,1,0,1,0,6,33,27,0.818,5.02,0,-0.1,72
14,Jack Campbell,27,LAK,31,25,10,14,1,61,845,784,0.928,2.3,2,6.3,1593
15,Eric Comrie,23,WPG,1,1,0,1,0,5,28,23,0.821,5.01,0,-0.1,60
16,Mike Condon,28,OTT,2,2,0,2,0,8,40,32,0.8,6.38,0,-0.2,75
17,Pheonix Copley,27,WSH,27,24,16,7,3,74,776,702,0.905,2.9,1,3.9,1529
18,Corey Crawford,34,CHI,39,39,14,18,5,108,1176,1068,0.908,2.93,2,6.3,2213
19,Joey Daccord,22,OTT,1,1,0,1,0,5,40,35,0.875,5,0,0.1,60
20,Scott Darling,30,CAR,8,8,2,4,2,27,233,206,0.884,3.34,0,0.7,486
21,Collin Delia,24,CHI,16,14,6,4,3,50,545,495,0.908,3.61,0,2.9,831
22,Aaron Dell,29,SJS,25,20,10,8,4,70,613,543,0.886,3.17,2,1.9,1323
23,Thatcher Demko,23,VAN,9,8,4,3,1,25,288,263,0.913,2.81,0,1.7,534
24,Casey DeSmith,27,PIT,36,30,15,11,5,89,1060,971,0.916,2.75,3,6.6,1944
25,Michael Dipietro,19,VAN,1,1,0,1,0,7,24,17,0.708,7,0,-0.4,60
26,Louis Domingue,26,TBL,26,26,21,5,0,75,812,737,0.908,2.88,0,4.3,1561
