Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SO,MIN
1,Jake Allen/allenja01,28,25,46,45,19,17,121,1277,1156,3,2568
2,Frederik Andersen/anderfr01,29,27,60,60,36,16,162,1958,1796,1,3510
3,Craig Anderson/andercr01,37,21,50,47,17,27,163,1676,1513,2,2785
4,Richard Bachman/bachmri01,31,28,1,1,0,1,6,29,23,0,60
5,Jonathan Bernier/bernijo01,30,11,35,30,9,18,98,1025,927,1,1860
6,Jordan Binnington/binnijo01,25,25,32,30,24,5,59,807,748,5,1876
7,Ben Bishop/bishobe01,32,10,46,45,27,15,87,1323,1236,7,2637
8,MacKenzie Blackwood/blackma01,22,18,23,21,10,10,55,669,614,2,1264
9,Sergei Bobrovsky/bobrose01,30,9,62,61,37,24,153,1756,1603,9,3557
10,Landon Bow/bowla01,23,10,2,0,0,0,1,19,18,0,58
11,Kevin Boyle/boyleke01,26,1,5,4,1,3,10,139,129,1,277
12,Laurent Brossoit/brossla01,25,31,21,19,13,6,49,652,603,1,1165
13,Peter Budaj/budajpe01,36,14,3,1,0,1,6,33,27,0,72
14,Jack Campbell/campbja01,27,14,31,25,10,14,61,845,784,2,1593
15,Eric Comrie/comrier01,23,31,1,1,0,1,5,28,23,0,60
16,Mike Condon/condomi01,28,21,2,2,0,2,8,40,32,0,75
17,Pheonix Copley/copleph01,27,30,27,24,16,7,74,776,702,1,1529
18,Corey Crawford/crawfco01,34,7,39,39,14,18,108,1176,1068,2,2213
19,Joey Daccord/daccojo01,22,21,1,1,0,1,5,40,35,0,60
20,Scott Darling/darlisc01,30,6,8,8,2,4,27,233,206,0,486
21,Collin Delia/deliaco01,24,7,16,14,6,4,50,545,495,0,831
22,Aaron Dell/dellaa01,29,24,25,20,10,8,70,613,543,2,1323
23,Thatcher Demko/demkoth01,23,28,9,8,4,3,25,288,263,0,534
24,Casey DeSmith/desmica01,27,23,36,30,15,11,89,1060,971,3,1944
25,Michael Dipietro/dipiemi01,19,28,1,1,0,1,7,24,17,0,60
26,Louis Domingue/dominlo01,26,26,26,26,21,5,75,812,737,0,1561
27,Devan Dubnyk/dubnyde01,32,15,67,66,31,28,163,1877,1714,2,3855
28,Brian Elliott/elliobr01,33,22,26,23,11,11,69,741,672,1,1397
29,Marc-Andre Fleury/fleurma01,34,29,61,61,35,21,152,1745,1593,8,3635
30,Pavel Francouz/francpa01,28,8,2,0,0,2,2,35,33,0,61
31,Kaden Fulcher/fulchka01,20,11,1,0,0,0,2,11,9,0,27
32,Alexandar Georgiev/georgal01,22,20,33,30,14,13,91,1057,966,2,1874
33,Christopher Gibson/gibsoch01,26,19,2,0,0,0,1,17,16,0,40
34,John Gibson/gibsojo02,25,1,58,57,26,22,153,1838,1685,2,3233
35,Thomas Greiss/greisth01,33,19,43,39,23,14,87,1185,1098,5,2294
36,Philipp Grubauer/grubaph01,27,8,37,33,18,9,89,1071,982,3,2021
37,Jaroslav Halak/halakja01,33,3,40,37,22,11,90,1158,1068,5,2308
38,Carter Hart/hartca01,20,22,31,30,16,13,81,976,895,0,1717
39,Connor Hellebuyck/helleco01,25,31,63,62,34,23,179,2051,1872,2,3704
40,Adin Hill/hillad01,22,2,13,11,7,5,32,322,290,1,696
41,Marcus Hogberg/hogbema01,24,21,4,4,0,2,14,121,107,0,206
42,Braden Holtby/holtbbr01,29,30,59,58,32,19,160,1795,1635,3,3407
43,Jimmy Howard/howarja02,34,11,55,52,23,22,156,1709,1553,0,3053
44,Michael Hutchinson/hutchmi01,28,TOT,9,8,3,4,27,239,212,1,496
44,Michael Hutchinson/hutchmi01,28,27,5,5,2,3,13,152,139,1,295
44,Michael Hutchinson/hutchmi01,28,13,4,3,1,1,14,87,73,0,201
45,Carter Hutton/huttoca01,33,4,50,48,18,25,142,1541,1399,0,2840
46,Tristan Jarry/jarrytr01,23,23,2,2,0,1,7,62,55,0,120
47,Chad Johnson/johnsch02,32,TOT,19,11,2,11,49,406,357,1,811
47,Chad Johnson/johnsch02,32,25,10,7,2,6,29,250,221,1,491
47,Chad Johnson/johnsch02,32,1,9,4,0,5,20,156,136,0,320
