Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,S,TOI,BLK,HIT
1,Nikita Kucherov\kucheni01,25,RW,82,41,87,128,24,62,246,1637,31,44
2,Connor McDavid\mcdavco01,22,C,78,41,75,116,3,20,240,1781,30,39
3,Patrick Kane\kanepa01,30,RW,81,44,66,110,2,22,341,1822,18,21
4,Leon Draisaitl\draisle01,23,C,82,50,55,105,2,52,231,1852,26,57
5,Sidney Crosby\crosbsi01,31,C,79,35,65,100,18,36,220,1658,43,85
6,Brad Marchand\marchbr03,30,LW,79,36,64,100,15,96,231,1550,19,46
7,Johnny Gaudreau\gaudrjo01,25,LW,82,36,63,99,18,24,245,1646,12,12
8,Nathan MacKinnon\mackina01,23,C,82,41,58,99,20,34,365,1812,31,54
9,Steven Stamkos\stamkst01,28,C,82,45,53,98,4,37,234,1501,40,72
10,Aleksander Barkov\barkoal01,23,C,82,35,61,96,-3,8,206,1833,61,28
11,Mitch Marner\marnemi01,21,RW,82,26,68,94,22,22,233,1625,43,29
12,Jonathan Huberdeau\huberjo01,25,C,82,30,62,92,-14,40,226,1546,45,57
13,Brayden Point\pointbr01,22,C,79,41,51,92,27,28,191,1495,43,31
14,Blake Wheeler\wheelbl01,32,RW,82,20,71,91,0,60,231,1698,53,81
15,Alex Ovechkin\ovechal01,33,LW,81,51,38,89,7,40,338,1695,41,223
16,John Tavares\tavarjo01,28,C,82,47,41,88,19,34,286,1565,53,59
17,Artemi Panarin\panarar01,27,LW,79,28,59,87,14,23,191,1569,17,14
18,Mikko Rantanen\rantami01,22,RW,74,31,56,87,13,54,193,1542,41,59
19,Claude Giroux\giroucl01,31,C,82,22,63,85,9,24,229,1759,19,28
20,Mark Scheifele\scheima01,25,C,82,38,46,84,8,38,199,1793,54,54
21,Sebastian Aho\ahose01,21,C,82,30,53,83,25,26,243,1652,34,65
22,Brent Burns\burnsbr01,33,D,82,16,67,83,13,34,300,2058,105,90
23,Jack Eichel\eicheja01,22,C,77,28,54,82,-11,26,303,1574,51,70
24,Phil Kessel\kesseph01,31,RW,82,27,55,82,-19,28,215,1474,18,12
25,Sean Monahan\monahse01,24,C,78,34,48,82,7,12,211,1486,24,36
26,David Pastrnak\pastrda01,22,RW,66,38,43,81,6,32,235,1238,25,57
27,Jonathan Toews\toewsjo01,30,C,82,35,46,81,2,40,235,1723,44,42
28,Tyler Seguin\seguity01,27,C,82,33,47,80,17,18,334,1701,47,74
29,Patrice Bergeron\bergepa01,33,C,65,32,47,79,23,30,205,1200,60,43
30,Elias Lindholm\lindhel01,24,C,81,27,51,78,30,20,182,1623,39,82
31,Ryan O'Reilly\oreilry01,27,C,82,28,49,77,22,12,234,1702,36,31
32,Matthew Tkachuk\tkachma01,21,LW,80,34,43,77,14,62,207,1408,13,104
33,Sean Couturier\coutuse01,26,C,80,33,43,76,2,34,223,1770,60,40
34,Alex DeBrincat\debrial01,21,RW,82,41,35,76,0,15,220,1451,26,35
35,Jake Guentzel\guentja01,24,C,82,40,36,76,13,26,227,1587,47,105
36,Teuvo Teravainen\teravte01,24,LW,82,21,55,76,30,12,167,1469,23,35
37,Gabriel Landeskog\landega01,26,LW,73,34,41,75,17,51,243,1544,64,120
38,Nicklas Backstrom\backsni02,31,C,80,22,52,74,2,30,169,1596,30,54
39,Mark Giordano\giordma01,35,D,78,17,57,74,39,69,221,1891,144,58
40,Tomas Hertl\hertlto01,25,C,77,35,39,74,5,18,176,1465,64,53
41,Mika Zibanejad\zibanmi01,25,C,82,30,44,74,-12,47,236,1686,66,134
42,David Krejci\krejcda01,32,C,81,20,53,73,7,16,139,1432,24,28
43,Dylan Larkin\larkidy01,22,C,76,32,41,73,-6,75,287,1660,38,80
44,Auston Matthews\matthau01,21,C,68,37,36,73,-9,12,251,1262,60,28
45,Mark Stone\stonema01,26,RW,77,33,40,73,17,27,199,1531,71,72
46,Max Domi\domima01,23,LW,82,28,44,72,20,80,203,1425,39,53
