Team,GP,W,L,OL,PTS,GF,GA,PP,PPO,PPA,PPOA,SH,SHA,S,SA,SO
Anaheim Ducks,82,35,37,10,80,196,248,36,212,55,271,5,10,2271,2725,4
Arizona Coyotes,82,39,35,8,86,209,220,42,258,34,226,16,9,2522,2526,6
Boston Bruins,82,49,24,9,107,257,212,65,251,49,244,7,15,2680,2416,9
Buffalo Sabres,82,33,39,10,76,221,268,46,236,41,215,3,9,2697,2704,2
Calgary Flames,82,50,25,7,107,289,223,53,275,50,246,18,7,2656,2302,3
Carolina Hurricanes,82,46,29,7,99,243,221,44,247,44,239,8,8,2822,2343,6
Chicago Blackhawks,82,36,34,12,84,267,291,48,238,63,231,6,7,2669,2852,2
Colorado Avalanche,82,38,30,14,90,258,244,63,286,58,272,9,5,2676,2619,5
Columbus Blue Jackets,82,47,31,4,98,256,231,34,221,30,200,8,6,2592,2418,9
Dallas Stars,82,43,32,7,93,209,200,45,214,41,238,4,2,2519,2591,10
Detroit Red Wings,82,32,40,10,74,224,272,39,216,56,245,7,7,2394,2761,2
Edmonton Oilers,82,35,38,9,79,229,271,47,222,62,246,10,7,2392,2599,5
Florida Panthers,82,36,32,14,86,264,273,72,269,43,230,3,13,2705,2516,1
Los Angeles Kings,82,31,42,9,71,199,259,35,221,54,230,4,13,2358,2578,5
Minnesota Wild,82,37,36,9,83,210,233,49,241,44,240,5,4,2567,2419,2
Montreal Canadiens,82,44,30,8,96,246,236,31,234,46,241,5,4,2796,2548,4
Nashville Predators,82,47,29,6,100,236,212,33,255,45,251,8,8,2677,2460,7
New Jersey Devils,82,31,41,10,72,219,271,45,254,40,255,10,10,2488,2592,6
New York Islanders,82,48,27,7,103,223,191,33,227,44,219,6,1,2360,2534,11
New York Rangers,82,32,36,14,78,221,267,44,227,58,266,7,4,2393,2774,2
Ottawa Senators,82,29,47,6,64,242,301,46,226,45,216,4,8,2429,2931,4
Philadelphia Flyers,82,37,37,8,82,241,280,40,234,51,237,4,11,2583,2665,3
Pittsburgh Penguins,82,44,26,12,100,271,238,56,228,45,222,12,15,2731,2729,7
San Jose Sharks,82,46,27,9,101,289,258,57,241,45,234,9,9,2708,2323,5
St. Louis Blues,82,45,28,9,99,244,220,50,237,43,232,5,7,2604,2345,9
Tampa Bay Lightning,82,62,16,4,128,319,221,74,262,40,267,12,3,2620,2633,6
Toronto Maple Leafs,82,46,28,8,100,286,249,46,211,41,204,5,9,2736,2717,3
Vancouver Canucks,82,35,36,11,81,219,248,43,251,48,254,7,8,2433,2597,1
Vegas Golden Knights,82,43,32,7,93,246,228,39,232,44,230,11,2,2814,2399,9
Washington Capitals,82,48,26,8,104,274,248,49,236,55,261,5,5,2492,2584,4
Winnipeg Jets,82,47,30,5,99,270,243,62,250,52,250,10,7,2557,2741,3
